fund_code,fund_name,fund_cat,ms_eval_3y,ms_eval_5y,fund_date,fund_value,fund_value_change,return_y_pct,return_1d,return_1w,return_1m,return_3m,return_6m,return_1y,return_2y,return_3y,return_5y,return_10y,return_since_est,dev_3y,ms_risk_3y,stock_ratio,bond_ratio,top10_stock_ratio,top10_bond_ratio,net_asset,est_date,buy_cond,redeem_cond,min_buy,front_fee,back_fee,redeem_fee,admin_fee,trust_fee,sell_service_fee,on_duty_date,on_duty_mngr,on_duty_return,coeff,aaron_ratio,top_industry,top_industry_ratio
002692,富国创新科技混合,激进配置型基金,2,1,2020-02-14,1.9250,-0.0190,24.68,-0.98,0.36,12.24,35.18,52.41,100.31,38.74,32.53,-,-,92.50,21.54,1.09,92.07,5.02,62.68,5.02,36.94,2016-06-16,开放,开放,100,1.50,-,1.50,1.50,0.25,-,2016-06-16,李元博,92.50,1.1179616498905596,6.467599191514715,信息传输、软件和信息技术服务业,42.11
001071,华安媒体互联网混合,激进配置型基金,4,2,2020-02-14,2.2570,-0.0060,11.90,-0.27,4.68,3.11,24.08,55.87,97.29,59.52,30.31,-,-,125.70,27.06,1.29,88.54,0.00,48.16,-,115.39,2015-05-15,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2016-09-21,胡宜斌,100.09,1.1179616498905596,-1.2381576546323112,制造业,52.62
003095,中欧医疗健康混合A,激进配置型基金,6,3,2020-02-14,1.9680,0.0120,13.56,0.61,2.77,9.64,4.74,34.24,81.89,32.40,29.97,-,-,107.03,25.0,1.15,93.58,0.05,62.93,0.05,50.45,2016-09-29,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2016-09-29,葛兰,107.43,1.1179616498905596,0.657717422984812,制造业,60.44
162703,广发小盘成长混合(LOF),激进配置型基金,4,6,2020-02-14,2.4955,0.0246,22.87,1.00,4.30,15.15,33.91,69.09,116.64,35.72,29.87,17.65,9.38,958.34,21.3,0.92,92.20,0.00,70.06,-,46.41,2005-02-02,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2017-06-19,刘格菘,101.23,1.1179616498905596,4.498268916401612,制造业,85.20
161725,招商中证白酒指数分级,股票型基金,2,2,2020-02-14,0.9257,-0.0023,-8.10,-0.25,1.83,-10.40,-7.90,-0.96,40.99,16.16,28.4,-,-,133.47,32.25,1.29,94.17,1.27,85.28,1.27,109.43,2015-05-27,开放,开放,1,1.00,-,1.50,1.00,0.22,-,2017-09-05,侯昊,60.24,1.1179616498905596,-8.136624130371416,制造业,94.12
100060,富国高新技术产业混合,激进配置型基金,2,6,2020-02-14,2.8210,-0.0450,19.99,-1.57,2.25,7.88,32.63,52.37,95.61,31.24,27.94,17.42,-,293.50,21.61,1.06,90.51,5.06,63.56,5.06,6.24,2012-06-27,开放,开放,"1,000",1.50,1.80,1.50,1.50,0.25,-,2015-11-23,李元博,49.96,1.1179616498905596,2.321912739345868,制造业,63.24
001938,中欧时代先锋股票A,股票型基金,2,6,2020-02-14,1.7295,0.0106,8.28,0.62,3.76,2.74,14.86,33.63,57.44,29.24,25.8,-,-,177.53,16.4,0.54,91.07,0.00,45.01,-,139.95,2015-11-03,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2015-11-03,周应波,177.61,1.1179616498905596,6.1377146984654045,制造业,48.13
001717,工银瑞信前沿医疗股票,行业股票 - 医药,7,2,2020-02-14,2.2430,-0.0150,16.94,-0.66,0.72,10.71,10.98,38.29,78.02,28.05,25.53,-,-,124.30,21.82,0.85,88.40,2.59,61.05,2.59,11.40,2016-02-03,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2019-12-02,赵蓓,20.01,1.1179616498905596,0.16620373069076566,制造业,74.62
000751,嘉实新兴产业股票,股票型基金,3,8,2020-02-14,3.4620,0.0000,13.36,0.00,1.29,7.28,15.67,33.87,79.66,29.70,31.54,24.64,-,246.20,18.11,0.64,92.61,1.42,42.97,1.42,22.80,2014-09-17,开放,开放,"1,000",1.50,-,1.50,1.50,0.25,-,2018-12-04,归凯,84.64,1.1179616498905596,9.46205897634104,制造业,59.89
003096,中欧医疗健康混合C,激进配置型基金,4,6,2020-02-14,1.9650,0.0120,13.39,0.61,2.77,9.53,4.63,34.13,81.94,32.59,29.95,-,-,106.73,25.03,1.15,93.58,0.05,62.93,0.05,50.45,2016-09-29,开放,开放,10,0.00,-,1.50,1.50,0.25,0.80,2016-09-29,葛兰,107.14,1.1179616498905596,0.6098277216681702,制造业,60.44
